Jugadores,Min,Puntos,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,REB,AST,FP,TOV,ROB,TAP
Leandro Vildoza,28:23,12,7,4,3,0,4,4,0,0,1,1,2,4,4,0,1,0
Lee Aliya,22:21,6,4,2,3,2,1,0,2,2,1,5,6,0,3,2,0,0
Alex Negrete,16:58,5,8,2,5,2,3,0,2,1,0,2,2,1,2,2,0,0
Nicolas Copello,24:12,17,11,5,4,3,7,2,6,5,0,1,1,1,0,1,1,0
Luciano Guerra,11:37,0,2,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0
Bautista Lugarini,21:31,15,9,6,6,5,3,1,4,2,0,4,4,1,2,1,0,0
Nicola Pomoli,23:15,0,4,0,3,0,1,0,2,0,1,9,10,6,1,2,0,1
Tomas Monacchi,23:14,4,1,1,1,1,0,0,2,2,1,2,3,1,2,1,0,0
Javier Saiz,23:17,13,7,6,7,6,0,0,2,1,0,2,2,1,4,3,0,0
Roberto Acuña,5:12,4,4,2,4,2,0,0,0,0,2,0,2,1,0,0,0,0
